Lineage	Gene
Arthropoda	148713at6656
Arthropoda	110982at6656
Arthropoda	92420at6656
Arthropoda	85810at6656
Arthropoda	138659at6656
Arthropoda	135373at6656
Arthropoda	94238at6656
Arthropoda	134885at6656
Arthropoda	124628at6656
Arthropoda	4864at6656
Arthropoda	87114at6656
Arthropoda	45367at6656
Arthropoda	44359at6656
Arthropoda	118904at6656
Arthropoda	125238at6656
Arthropoda	38567at6656
Arthropoda	58012at6656
Arthropoda	24556at6656
Arthropoda	137202at6656
Arthropoda	126074at6656
Arthropoda	57932at6656
Arthropoda	55847at6656
Arthropoda	134673at6656
Arthropoda	133015at6656
Arthropoda	107453at6656
Arthropoda	132760at6656
Arthropoda	156882at6656
Arthropoda	78777at6656
Arthropoda	19590at6656
Arthropoda	144337at6656
Arthropoda	35548at6656
Arthropoda	87089at6656
Arthropoda	23309at6656
Arthropoda	19129at6656
Arthropoda	113668at6656
Arthropoda	121530at6656
Arthropoda	91022at6656
Arthropoda	119194at6656
Arthropoda	13019at6656
Arthropoda	4227at6656
Arthropoda	69284at6656
Arthropoda	94878at6656
Arthropoda	137688at6656
Arthropoda	73547at6656
Arthropoda	38819at6656
Arthropoda	76573at6656
Arthropoda	131307at6656
Arthropoda	75704at6656
Arthropoda	16648at6656
Arthropoda	30463at6656
Arthropoda	152534at6656
Arthropoda	3644at6656
Arthropoda	149101at6656
Arthropoda	75764at6656
Arthropoda	14090at6656
Arthropoda	151642at6656
Arthropoda	72578at6656
Arthropoda	109919at6656
Arthropoda	37030at6656
Arthropoda	74655at6656
Arthropoda	79241at6656
Arthropoda	119188at6656
Arthropoda	136095at6656
Arthropoda	144851at6656
Arthropoda	108705at6656
Arthropoda	14257at6656
Arthropoda	150137at6656
Arthropoda	110504at6656
Arthropoda	103590at6656
Arthropoda	109923at6656
Arthropoda	134776at6656
Arthropoda	101767at6656
Arthropoda	143154at6656
Arthropoda	61577at6656
Arthropoda	131276at6656
Arthropoda	78919at6656
Arthropoda	60468at6656
Arthropoda	132495at6656
Arthropoda	92854at6656
Arthropoda	31919at6656
Arthropoda	22358at6656
Arthropoda	81423at6656
Arthropoda	39783at6656
Arthropoda	32851at6656
Arthropoda	28872at6656
Arthropoda	24255at6656
Arthropoda	1166at6656
Arthropoda	129077at6656
Arthropoda	81708at6656
Arthropoda	99998at6656
Arthropoda	33187at6656
Arthropoda	76812at6656
Arthropoda	115252at6656
Arthropoda	101349at6656
Arthropoda	114609at6656
Arthropoda	136365at6656
Arthropoda	13890at6656
Arthropoda	22611at6656
Arthropoda	115208at6656
Arthropoda	81307at6656
Arthropoda	69201at6656
Arthropoda	62580at6656
Arthropoda	2473at6656
Arthropoda	55932at6656
Arthropoda	8847at6656
Arthropoda	28519at6656
Arthropoda	60356at6656
Arthropoda	80317at6656
Arthropoda	34586at6656
Arthropoda	27198at6656
Arthropoda	143812at6656
Arthropoda	24427at6656
Arthropoda	152871at6656
Arthropoda	55036at6656
Arthropoda	28325at6656
Arthropoda	78202at6656
Arthropoda	84925at6656
Arthropoda	115537at6656
Arthropoda	24459at6656
Arthropoda	980at6656
Arthropoda	101761at6656
Arthropoda	72450at6656
Arthropoda	89840at6656
Arthropoda	154507at6656
Arthropoda	33566at6656
Arthropoda	128331at6656
Arthropoda	98620at6656
Arthropoda	113817at6656
Arthropoda	115462at6656
Arthropoda	10240at6656
Ascomycota	344199at4890
Ascomycota	102732at4890
Ascomycota	364986at4890
Ascomycota	311612at4890
Ascomycota	129655at4890
Ascomycota	96539at4890
Ascomycota	254639at4890
Ascomycota	112144at4890
Ascomycota	191629at4890
Ascomycota	254166at4890
Ascomycota	1902at4890
Ascomycota	329005at4890
Ascomycota	203165at4890
Ascomycota	294941at4890
Ascomycota	78494at4890
Ascomycota	209713at4890
Ascomycota	44813at4890
Ascomycota	219862at4890
Ascomycota	307233at4890
Ascomycota	245815at4890
Ascomycota	19101at4890
Ascomycota	174127at4890
Ascomycota	184203at4890
Ascomycota	204145at4890
Ascomycota	207798at4890
Ascomycota	329601at4890
Ascomycota	218776at4890
Ascomycota	100974at4890
Ascomycota	253075at4890
Ascomycota	116022at4890
Ascomycota	249697at4890
Ascomycota	154234at4890
Ascomycota	261552at4890
Ascomycota	303830at4890
Ascomycota	208006at4890
Ascomycota	157546at4890
Ascomycota	353763at4890
Ascomycota	192098at4890
Ascomycota	220407at4890
Ascomycota	287439at4890
Ascomycota	112244at4890
Ascomycota	171082at4890
Ascomycota	244701at4890
Ascomycota	133490at4890
Ascomycota	321013at4890
Ascomycota	315720at4890
Ascomycota	25961at4890
Ascomycota	266338at4890
Ascomycota	278843at4890
Ascomycota	164646at4890
Ascomycota	288739at4890
Ascomycota	343173at4890
Ascomycota	334382at4890
Ascomycota	262326at4890
Ascomycota	220716at4890
Ascomycota	328957at4890
Ascomycota	306220at4890
Ascomycota	93380at4890
Ascomycota	328128at4890
Ascomycota	349202at4890
Ascomycota	357056at4890
Ascomycota	190976at4890
Ascomycota	167000at4890
Ascomycota	79605at4890
Ascomycota	287749at4890
Ascomycota	150442at4890
Ascomycota	94241at4890
Ascomycota	306353at4890
Ascomycota	226733at4890
Ascomycota	338117at4890
Ascomycota	116973at4890
Ascomycota	153834at4890
Ascomycota	349251at4890
Ascomycota	85232at4890
Ascomycota	233393at4890
Ascomycota	167029at4890
Ascomycota	235718at4890
Ascomycota	314370at4890
Ascomycota	323508at4890
Ascomycota	118689at4890
Ascomycota	130338at4890
Ascomycota	352787at4890
Ascomycota	269204at4890
Ascomycota	98628at4890
Ascomycota	204180at4890
Ascomycota	368462at4890
Ascomycota	343291at4890
Ascomycota	180981at4890
Ascomycota	337193at4890
Ascomycota	107609at4890
Ascomycota	344656at4890
Ascomycota	198273at4890
Ascomycota	260012at4890
Ascomycota	344908at4890
Ascomycota	61292at4890
Ascomycota	80824at4890
Ascomycota	20272at4890
Ascomycota	238200at4890
Ascomycota	335567at4890
Ascomycota	290327at4890
Ascomycota	153277at4890
Ascomycota	133545at4890
Ascomycota	216344at4890
Ascomycota	234735at4890
Ascomycota	100311at4890
Ascomycota	275358at4890
Ascomycota	324670at4890
Ascomycota	135760at4890
Ascomycota	131344at4890
Ascomycota	263689at4890
Ascomycota	190257at4890
Ascomycota	130793at4890
Ascomycota	158698at4890
Ascomycota	143925at4890
Ascomycota	155796at4890
Ascomycota	359041at4890
Ascomycota	156418at4890
Ascomycota	94700at4890
Ascomycota	321905at4890
Ascomycota	177617at4890
Ascomycota	325861at4890
Ascomycota	343339at4890
Ascomycota	141307at4890
Ascomycota	346709at4890
Ascomycota	253252at4890
Ascomycota	171602at4890
Ascomycota	347717at4890
Ascomycota	28975at4890
Ascomycota	337069at4890
Ascomycota	5198at4890
Ascomycota	316857at4890
Ascomycota	331712at4890
Ascomycota	25885at4890
Ascomycota	218896at4890
Ascomycota	349475at4890
Ascomycota	142524at4890
Ascomycota	305961at4890
Ascomycota	367811at4890
Ascomycota	220071at4890
Ascomycota	284344at4890
Ascomycota	16256at4890
Ascomycota	171624at4890
Ascomycota	89647at4890
Ascomycota	338471at4890
Ascomycota	343143at4890
Ascomycota	22726at4890
Ascomycota	25673at4890
Ascomycota	350575at4890
Ascomycota	78159at4890
Ascomycota	1872at4890
Ascomycota	278809at4890
Ascomycota	294264at4890
Ascomycota	324453at4890
Ascomycota	39674at4890
Ascomycota	338973at4890
Ascomycota	313077at4890
Ascomycota	320265at4890
Ascomycota	309563at4890
Ascomycota	224512at4890
